logz logzerr logvol nlive logl logwt insert_order
-1.506941355404550049e+12 1.240573169339930573e+11 -4.266666666666674712e-01 3.000000000000000000e+02 -1.493280896618323486e+12 -1.493280896624455566e+12 1.933333333333333293e-01
-1.493280896624455566e+12 6.439602024976547241e+09 -4.300000000000008260e-01 3.000000000000000000e+02 -1.227838572442531250e+12 -1.227838572448666748e+12 1.399999999999999911e+00
-1.227838572448666748e+12 1.284110772958584442e+11 -4.333333333333341808e-01 3.000000000000000000e+02 -1.080959160761848877e+12 -1.080959160767987671e+12 1.340000000000000080e+00
-1.080959160767987671e+12 1.232059868723572083e+11 -4.366666666666675356e-01 3.000000000000000000e+02 -9.952754017524521484e+11 -9.952754017585942383e+11 1.793333333333333224e+00
-9.952754017585942383e+11 1.473972302922273254e+11 -4.400000000000008904e-01 3.000000000000000000e+02 -9.758888576268586426e+11 -9.758888576330041504e+11 1.646666666666666723e+00
-9.758888576330041504e+11 9.138904542765838623e+09 -4.433333333333342452e-01 3.000000000000000000e+02 -8.090607684189234619e+11 -8.090607684250722656e+11 1.373333333333333295e+00
-8.090607684250722656e+11 8.341404460403025818e+10 -4.466666666666676000e-01 3.000000000000000000e+02 -7.595400777939968262e+11 -7.595400778001489258e+11 6.400000000000000133e-01
-7.595400778001489258e+11 1.368679584709682846e+10 -4.500000000000009548e-01 3.000000000000000000e+02 -7.565466978553742676e+11 -7.565466978615296631e+11 1.479999999999999982e+00
-7.565466978615296631e+11 1.296171535472208738e+09 -4.533333333333343096e-01 3.000000000000000000e+02 -6.161399559090842285e+11 -6.161399559152430420e+11 1.806666666666666643e+00
-6.161399559152430420e+11 6.922145728623445129e+10 -4.566666666666676644e-01 3.000000000000000000e+02 -5.870973770285139160e+11 -5.870973770346760254e+11 1.666666666666666741e+00
-5.870973770346760254e+11 7.240912247527416992e+10 -4.600000000000010192e-01 3.000000000000000000e+02 -5.722750325720026855e+11 -5.722750325781680908e+11 6.666666666666666574e-02
-5.722750325781680908e+11 7.307514365099318504e+09 -4.633333333333343740e-01 3.000000000000000000e+02 -5.455215853772443848e+11 -5.455215853834131470e+11 1.806666666666666643e+00
-5.455215853834131470e+11 1.512498766972936821e+10 -4.666666666666677288e-01 3.000000000000000000e+02 -5.288562262097830811e+11 -5.288562262159552002e+11 1.826666666666666661e+00
-5.288562262159552002e+11 2.165115327658702850e+10 -4.700000000000010836e-01 3.000000000000000000e+02 -4.648297775407835693e+11 -4.648297775469590454e+11 1.993333333333333401e+00
-4.648297775469590454e+11 1.498675516200312474e+00 -4.733333333333344384e-01 3.000000000000000000e+02 -4.419113616102631836e+11 -4.419113616164419556e+11 1.513333333333333419e+00
-4.419113616164419556e+11 1.129893142907330513e+10 -4.766666666666677932e-01 3.000000000000000000e+02 -4.400128477091075439e+11 -4.400128477152896729e+11 1.233333333333333393e+00
-4.400128477152896729e+11 1.302671545363736527e+00 -4.800000000000011480e-01 3.000000000000000000e+02 -4.395669654886019287e+11 -4.395669654947873535e+11 1.133333333333333304e+00
-4.395669654947873535e+11 1.661704921377677023e+08 -4.833333333333345028e-01 3.000000000000000000e+02 -4.382938867338380127e+11 -4.382938867400267944e+11 4.666666666666666741e-01
-4.382938867400267944e+11 5.512592709715831280e+08 -4.866666666666678576e-01 3.000000000000000000e+02 -4.243904635960042725e+11 -4.243904636021964111e+11 5.866666666666666696e-01
-4.243904636021964111e+11 6.211364190232962608e+09 -4.900000000000012124e-01 3.000000000000000000e+02 -4.138419523919849854e+11 -4.138419523981804199e+11 1.866666666666666696e+00
-4.138419523981804199e+11 1.047414250456459618e+10 -4.933333333333345672e-01 3.000000000000000000e+02 -3.531773536546668091e+11 -3.531773536608656006e+11 1.860000000000000098e+00
-3.531773536608656006e+11 2.995701949386277008e+10 -4.966666666666679220e-01 3.000000000000000000e+02 -3.134774162160900879e+11 -3.134774162222921753e+11 1.133333333333333276e-01
-3.134774162222921753e+11 3.691219956301552582e+10 -5.000000000000012212e-01 3.000000000000000000e+02 -2.836768007862280273e+11 -2.836768007924334717e+11 1.020000000000000018e+00
-2.836768007924334717e+11 3.867367205388921356e+10 -5.033333333333345205e-01 3.000000000000000000e+02 -2.806169475193593140e+11 -2.806169475255681152e+11 1.406666666666666732e+00
-2.806169475255681152e+11 3.661405508737114716e+10 -5.066666666666678198e-01 3.000000000000000000e+02 -2.780330501064536743e+11 -2.780330501126657715e+11 2.800000000000000266e-01
-2.780330501126657715e+11 2.111986556117279053e+09 -5.100000000000011191e-01 3.000000000000000000e+02 -2.754906987076051636e+11 -2.754906987138206177e+11 1.093333333333333268e+00
-2.754906987138206177e+11 1.635929500714442730e+09 -5.133333333333344184e-01 3.000000000000000000e+02 -2.588525089555173950e+11 -2.588525089617361755e+11 3.400000000000000244e-01
-2.588525089617361755e+11 8.605675231127117157e+09 -5.166666666666677177e-01 3.000000000000000000e+02 -2.536165656359014893e+11 -2.536165656421235962e+11 5.999999999999999778e-01
-2.536165656421235962e+11 7.993748527150554657e+09 -5.200000000000010170e-01 3.000000000000000000e+02 -2.533875914060419312e+11 -2.533875914122673950e+11 1.600000000000000089e+00
